Date ;Open;High;Low;Close;Adj-Close;Volume
07/31/2026;14.70;14.72;14.65;14.69;14.69;832477.97;6338878.00
07/30/2026;14.85;14.85;14.77;14.85;14.85;831557.52;0.00
07/29/2026;14.85;14.85;14.82;14.82;14.82;724653.54;0.00
07/28/2026;14.84;14.85;14.83;14.84;14.84;365657.60;0.00
07/27/2026;14.83;14.85;14.83;14.83;14.83;156753.10;0.00
07/24/2026;14.85;14.85;14.81;14.84;14.84;69086.60;5721747.00
07/23/2026;14.86;14.88;14.82;14.85;14.85;676784.94;0.00
07/22/2026;14.83;14.87;14.82;14.86;14.86;596985.64;0.00
07/21/2026;14.81;14.84;14.80;14.81;14.81;217188.65;0.00
07/20/2026;14.80;14.83;14.77;14.81;14.81;93508.38;0.00
07/17/2026;14.80;14.82;14.77;14.78;14.78;61892.48;4868520.00
07/16/2026;14.80;14.82;14.77;14.79;14.79;319464.00;0.00
07/15/2026;14.82;14.83;14.78;14.79;14.79;267639.84;0.00
07/14/2026;14.79;14.80;14.78;14.79;14.79;580818.09;0.00
07/13/2026;14.79;14.80;14.76;14.77;14.77;553875.00;0.00
07/10/2026;14.78;14.79;14.76;14.77;14.77;255535.77;2866263.00
07/09/2026;14.65;14.82;14.62;14.75;14.75;317887.45;0.00
07/08/2026;14.62;14.68;14.61;14.60;14.60;12742.73;0.00
07/07/2026;14.59;14.64;14.58;14.60;14.60;894467.23;0.00
07/06/2026;14.64;14.64;14.53;14.56;14.56;254217.60;0.00
07/02/2026;14.68;14.68;14.55;14.60;14.60;510094.80;15097362.00
07/01/2026;14.64;14.69;14.63;14.64;14.64;684434.64;0.00
06/30/2026;14.62;14.67;14.62;14.66;14.66;188990.88;0.00
06/29/2026;14.65;14.66;14.61;14.65;14.65;681304.47;0.00
06/26/2026;14.65;14.68;14.63;14.66;14.66;890814.90;3891775.00
06/25/2026;14.69;14.71;14.62;14.63;14.63;859746.58;0.00
06/24/2026;14.67;14.70;14.67;14.70;14.70;337235.56;0.00
06/23/2026;14.63;14.70;14.63;14.69;14.69;354264.04;0.00
06/22/2026;14.63;14.66;14.62;14.60;14.60;835121.56;0.00
06/18/2026;14.62;14.65;14.61;14.62;14.62;615919.95;3037616.00
06/17/2026;14.63;14.68;14.57;14.59;14.59;837660.31;0.00
06/16/2026;14.66;14.68;14.63;14.64;14.64;57696.24;0.00
06/15/2026;14.68;14.70;14.65;14.71;14.71;392099.76;0.00
06/12/2026;14.68;14.71;14.66;14.68;14.68;405793.10;3393595.00
06/11/2026;14.65;14.69;14.65;14.67;14.67;416999.27;0.00
06/10/2026;14.65;14.68;14.63;14.64;14.64;493872.71;0.00
06/09/2026;14.70;14.72;14.62;14.64;14.64;792609.60;0.00
06/08/2026;14.71;14.72;14.64;14.70;14.70;868243.86;0.00
06/05/2026;14.72;14.73;14.65;14.65;14.65;54922.85;5255570.00
06/04/2026;14.70;14.74;14.70;14.73;14.73;343326.84;0.00
06/03/2026;14.69;14.72;14.69;14.72;14.72;774906.62;0.00
06/02/2026;14.69;14.72;14.68;14.68;14.68;140194.00;0.00
06/01/2026;14.69;14.74;14.66;14.70;14.70;791330.40;0.00
05/29/2026;14.70;14.70;14.67;14.67;14.67;848131.38;4888487.00
05/28/2026;14.71;14.71;14.67;14.71;14.71;523696.47;0.00
05/27/2026;14.67;14.69;14.67;14.69;14.69;172108.04;0.00
05/26/2026;14.70;14.72;14.66;14.68;14.68;943865.28;0.00
05/22/2026;14.73;14.74;14.65;14.68;14.68;927687.92;4620090.00
05/21/2026;14.68;14.70;14.64;14.70;14.70;201336.20;0.00
05/20/2026;14.57;14.68;14.57;14.68;14.68;50349.93;0.00
05/19/2026;14.51;14.58;14.51;14.58;14.58;168035.17;0.00
05/18/2026;14.48;14.56;14.46;14.56;14.56;897944.32;0.00
05/15/2026;14.43;14.49;14.42;14.47;14.47;22573.20;7484535.00
05/14/2026;14.44;14.47;14.42;14.46;14.46;37698.64;0.00
05/13/2026;14.43;14.45;14.41;14.42;14.42;848991.92;0.00
05/12/2026;14.35;14.45;14.33;14.44;14.44;717480.28;0.00
05/11/2026;14.36;14.38;14.30;14.35;14.35;524496.24;0.00
05/08/2026;14.38;14.38;14.25;14.31;14.31;749925.32;9020022.00
05/07/2026;14.34;14.37;14.25;14.28;14.28;267770.45;0.00
05/06/2026;14.43;14.45;14.31;14.31;14.31;663208.41;0.00
05/05/2026;14.29;14.37;14.29;14.37;14.37;26575.25;0.00
05/04/2026;14.27;14.30;14.27;14.29;14.29;244873.44;0.00
05/01/2026;14.32;14.35;14.26;14.29;14.29;595850.13;17434665.00
04/30/2026;14.49;14.49;14.45;14.47;14.47;646961.59;0.00
04/29/2026;14.47;14.48;14.43;14.46;14.46;398191.89;0.00
04/28/2026;14.48;14.50;14.46;14.48;14.48;58276.35;0.00
04/27/2026;14.50;14.52;14.47;14.48;14.48;605582.56;0.00
04/24/2026;14.49;14.51;14.47;14.49;14.49;188471.43;15804785.00
04/23/2026;14.50;14.51;14.45;14.50;14.50;609609.00;0.00
04/22/2026;14.50;14.51;14.46;14.46;14.46;611692.24;0.00
04/21/2026;14.50;14.52;14.46;14.47;14.47;938604.92;0.00
04/20/2026;14.46;14.49;14.45;14.49;14.49;686849.73;0.00
04/17/2026;14.51;14.51;14.46;14.48;14.48;350584.50;6395087.00
04/16/2026;14.45;14.52;14.45;14.50;14.50;454099.36;0.00
